file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rotarcgis;F_rotarcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rotgoogle;F_rotgoogle;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rotgeoportal;F_rotgeoportal;time_rot_geoportal
12125.jpg;11;4;;;442;7;;;455;2;2;;;444;5;;;472;8;4;;;455;5;;;436
12182.jpg;32;5;;;488;5;;;423;12;4;;;464;4;;;442;30;2;;;593;5;;;500
12239.jpg;15;4;;;449;4;;;430;9;3;;;448;5;;;444;8;5;;;454;3;;;434
12298.jpg;22;5;;;444;4;;;433;19;2;;;601;5;;;443;4;4;;;446;4;;;422
12323.jpg;25;5;;;478;5;;;431;7;4;;;439;5;;;507;4;4;;;454;5;;;442
12358.jpg;17;5;;;461;5;;;436;3;3;;;451;5;;;453;10;3;;;528;3;;;435
12422.jpg;27;5;;;450;4;;;530;22;6;;;461;4;;;466;4;4;;;445;5;;;438
12434.jpg;20;5;;;469;4;;;433;33;6;;;501;5;;;599;4;4;;;450;5;;;493
12491.jpg;17;4;;;545;4;;;442;34;5;;;514;6;;;496;3;3;;;504;3;;;441
12521.jpg;31;4;;;521;6;;;455;27;5;;;463;5;;;566;11;3;;;465;5;;;435
12569.jpg;9;4;;;447;5;;;471;8;4;;;465;4;;;511;10;4;;;457;4;;;437
12595.jpg;19;3;;;603;6;;;490;17;5;;;459;6;;;630;10;4;;;447;5;;;472
12662.jpg;15;5;;;456;4;;;454;8;4;;;446;6;;;448;12;4;;;458;4;;;533
12725.jpg;12;4;;;446;7;;;465;32;5;;;505;6;;;542;16;4;;;449;4;;;437
12785.jpg;18;4;;;451;3;;;567;9;4;;;446;4;;;494;17;4;;;465;4;;;430
12844.jpg;13;5;;;441;5;;;482;13;5;;;451;5;;;453;23;5;;;543;5;;;472
12901.jpg;14;2;;;573;4;;;539;7;4;;;444;5;;;433;6;4;;;444;5;;;439
12956.jpg;8;5;;;444;3;;;436;11;4;;;436;5;;;466;8;4;;;443;4;;;437
13013.jpg;22;3;;;559;6;;;468;5;4;;;449;18;[[1.4395596254271317, 0.14415781022059235, -691.429574595592], [0.03207412171762494, 1.2064003670097743, -286.5093341746945], [0.0001578114040992273, 0.00018398043010821102, 1.0]];[[0.41431494052203277, 108.15262189684447, -59413.100458345594], [-109.40171522536706, 17.459439192582032, 137068.79463101743], [81382.32525746597, -189315.34327233332, -6003791.14067813]];448;4;4;;;474;5;;;469
13070.jpg;14;4;;;450;28;[[1.1763017495566501, -0.08397043228094805, -379.0429603185662], [0.04694392806880095, 0.9703931906124496, -235.6390435273123], [0.00013513690868056645, -0.000137052469561326, 1.0]];[[-4.4214173009655386e-07, -7.935431376842554e-06, 0.005875911476243067], [6.890550622135917e-06, 1.0187894270710853e-06, 0.0009373427872632744], [-0.00623941933049287, 0.0009153282397853898, -2.2349778510195084]];447;9;4;;;453;8;[[1.1602628084401838, -0.01615400413685912, -403.2735824022632], [0.04689443716313217, 0.9704745373761484, -241.9175002950283], [0.00014411370414485903, -0.00014085228508452715, 1.0]];[[1.3822291604886106e-07, 1.3369124638028465e-06, -0.00231590090671784], [-1.3954184170346047e-06, -2.8965656898783826e-07, -0.0013531677706018182], [0.0024721021867773712, 0.0012592569247357292, 1.0]];462;8;4;;;449;7;;;450
13126.jpg;20;5;;;448;29;[[1.0757489783719374, -0.13712725085706323, -209.23561435498894], [0.10765337008886568, 0.8158697384256345, -189.58436283554147], [0.00015341534793559888, -0.00019704353148996276, 1.0]];[[0.034581192865556526, -0.6572399222960876, 11.779719338510418], [0.4946060995850843, 0.16008702488998333, 231.17349534785865], [-84.25729245015431, -208.09301472373937, -40566.65292533781]];451;4;4;;;462;4;;;585;7;4;;;444;7;;;532
13183.jpg;4;4;;;441;10;[[0.8013135387966644, 0.009692368828134203, -235.43468027085288], [-0.06631423757308388, 0.7375589536893346, -131.98700714466284], [-0.00042814546977442693, 6.553096703404447e-05, 1.0]];[[-2.24217968612454e-06, 8.33886783080555e-06, -0.006377480702479167], [-4.910629068698777e-06, -5.149478168173018e-07, 0.004220825577858691], [0.007794434234344641, -0.007131853598739805, 1.0]];540;16;4;;;561;3;;;589;13;5;;;444;6;;;469
13240.jpg;3;3;;;447;6;;;458;5;4;;;518;4;;;444;16;5;;;458;4;;;425
13295.jpg;9;4;;;455;3;;;618;3;3;;;450;6;;;441;9;4;;;442;1;;;542
13352.jpg;5;4;;;442;4;;;444;12;4;;;455;4;;;439;13;4;;;526;5;;;429
13408.jpg;21;5;;;545;3;;;443;3;3;;;455;3;;;534;12;5;;;446;4;;;442
13465.jpg;4;4;;;441;1;;;445;3;3;;;445;4;;;447;6;4;;;439;4;;;426
13522.jpg;1;1;;;462;1;;;440;2;2;;;460;1;;;441;4;4;;;558;1;;;434
13580.jpg;5;4;;;443;1;;;442;2;2;;;443;3;;;598;3;3;;;458;0;;;470
13634.jpg;0;0;;;449;2;;;437;2;2;;;453;5;;;439;3;3;;;445;4;;;429
13672.jpg;4;4;;;452;1;;;455;4;4;;;442;2;;;449;3;3;;;444;3;;;421
13796.jpg;5;4;;;450;3;;;435;7;4;;;462;1;;;423;5;5;;;458;1;;;431
13916.jpg;11;5;;;460;4;;;425;18;4;;;462;4;;;438;6;4;;;443;4;;;440
14030.jpg;3;3;;;449;4;;;522;3;3;;;510;4;;;439;13;4;;;455;4;;;435
14102.jpg;7;4;;;447;1;;;441;1;1;;;463;4;;;445;11;5;;;438;4;;;428
